time_s,scan_period_s,conveyor_motor,motor_feedback,state,mode,fault_id
18.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.65,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.7,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.75,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.8,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.85,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.9,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
18.95,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.0,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.05,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.1,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.15,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.2,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.25,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.3,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.35,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.4,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.45,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.5,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.55,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
19.6,0.05,True,True,PRODUCT_DETECTED,AUTOMATIC,
